Tweet_count,Username,Text,Created At,Retweets,Likes
1,SUPER METRO 🇰🇪,"Fun fact, Rigathi Gachagua is more intelligent than William Ruto https://t.co/o6GFo8hyCO",Tue Oct 08 16:01:36 +0000 2024,1149,7074
2,Abdulahi Adan,"""Mr. Speaker you seat hear today because you negotiated and fought for your stomach!"" ~Rigathi Gachagua https://t.co/JMjAH9iTlj",Tue Oct 08 15:31:13 +0000 2024,2755,10749
3,Aadoo Ozzo🇵🇸,"""I made my money during Kibaki's era when the economy was strong and things were working"" - DP Rigathi #Gachagua https://t.co/8gjkgDW02U",Mon Oct 07 16:55:45 +0000 2024,3229,14176
4,"H.E. Rigathi Gachagua, EGH","1 Thessalonians 5:18 

""Give thanks in all circumstances; for this is God’s will for you in Christ Jesus.""",Tue Oct 08 19:35:15 +0000 2024,2336,13309
5,Kijana Ya Atwoli ( parody ),Rigathi Gachagua is not the problem its Ruto !! https://t.co/cgeLKzn8Is,Mon Oct 07 19:59:42 +0000 2024,4473,13777
6,Boniface Mwangi - Commentary,"BREAKING NEWS:
LET THE WORLD KNOW THAT WILLIAM RUTO IS A ONE TERM PRESIDENT! 
Say Less, Just RETWEET. 

What is being done to Rigathi Gachagua is very unfair and unconstitutional! https://t.co/mh8UVtr9pl",Mon Oct 07 16:44:57 +0000 2024,4904,9817
7,PK SELLASIE,"As we watch the Truthful man Rigathi Gachagua 

Spare your 1 second and RETWEET this

Just RETWEET widely!!!
#StopAdani https://t.co/zyEs4KBV4h",Tue Oct 08 16:30:34 +0000 2024,1902,1948
8,PK SELLASIE,"""Mr. Speaker you seat hear today because you negotiated and fought for your stomach!"" 
~ Truthful man Rigathi Gachagua https://t.co/rm1iA2G1Xr",Tue Oct 08 15:52:38 +0000 2024,1586,7411
9,Gabriel Oguda,"Here is the video you've all been waiting for. The ghost of Gen Francis Ogola has returned to haunt Deputy President Rigathi Gachagua right in front of our very own eyes. Lawyers in the house, please help us decode this speech. https://t.co/ztQH8hAb91",Tue Oct 08 13:24:45 +0000 2024,375,1611
10,MR KIMM™🇰🇪,"Bro imma let yah all know dat I ain't quitting, imma fight to the end.
Mama raised no pv$$y.

-Rigathi Gachagua Riggy G https://t.co/1rqsTAyS49",Mon Oct 07 18:17:56 +0000 2024,2189,11506
11,"Cyprian, Is Nyakundi","Deputy President Rigathi Gachagua responds to Deputy Speaker Gladys Shollei: “Honorable Shollei, I heard what you said in Eldoret, and I heard what you said this morning that I should be sent to prison. My sister, I’m a grateful man. I remember. I will never forget during the https://t.co/8ueDg4Urfs",Tue Oct 08 15:59:28 +0000 2024,968,4298
12,TL Elder,This is the team that drafted Rigathi Gachagua's impeachment motion. https://t.co/KdRXvN88yP,Tue Oct 08 15:07:36 +0000 2024,1097,6058
13,Kanairaw,The DP Rigathi Gachagua that parliament was expecting Vs the one who showed up. 😅😅😅😅 https://t.co/80lFqKYa4j,Tue Oct 08 15:37:44 +0000 2024,330,2006
14,Hon. Katiwa 𝕏,Timothy Kipchumba is the only Kalenjin MP who voted NO against the impeachment of the Deputy President Rigathi Gachagua. Do you know why he looks like he has brains? https://t.co/EtKYB2FImh,Tue Oct 08 19:08:20 +0000 2024,430,2771
15,"H.E. Rigathi Gachagua, EGH","Good morning Kenya, as usual, at 5.15 am in the office today, we are rebuilding our great Nation. Blessed week ahead. https://t.co/J9GHjrIQSs",Mon Mar 27 04:00:04 +0000 2023,1402,13320
